utt,convID1
swb1_dialogact_annot/sw02utt/sw_0225_2877.utt,397
swb1_dialogact_annot/sw01utt/sw_0142_2145.utt,59
swb1_dialogact_annot/sw04utt/sw_0453_2139.utt,58
swb1_dialogact_annot/sw05utt/sw_0517_4633.utt,1055
swb1_dialogact_annot/sw04utt/sw_0480_3040.utt,482
swb1_dialogact_annot/sw09utt/sw_0998_2175.utt,69
swb1_dialogact_annot/sw00utt/sw_0057_3506.utt,767
swb1_dialogact_annot/sw01utt/sw_0198_3962.utt,925
swb1_dialogact_annot/sw01utt/sw_0143_2290.utt,114
swb1_dialogact_annot/sw10utt/sw_1087_3214.utt,596
swb1_dialogact_annot/sw03utt/sw_0356_3303.utt,656
swb1_dialogact_annot/sw01utt/sw_0152_3108.utt,533
swb1_dialogact_annot/sw00utt/sw_0065_4349.utt,1022
swb1_dialogact_annot/sw05utt/sw_0591_2460.utt,194
swb1_dialogact_annot/sw04utt/sw_0429_3607.utt,812
swb1_dialogact_annot/sw01utt/sw_0105_4123.utt,973
swb1_dialogact_annot/sw08utt/sw_0803_4037.utt,944
swb1_dialogact_annot/sw08utt/sw_0854_2168.utt,67
swb1_dialogact_annot/sw09utt/sw_0942_3025.utt,474
swb1_dialogact_annot/sw03utt/sw_0363_3487.utt,758
swb1_dialogact_annot/sw10utt/sw_1097_3769.utt,874
swb1_dialogact_annot/sw05utt/sw_0543_2792.utt,358
swb1_dialogact_annot/sw01utt/sw_0128_3441.utt,739
swb1_dialogact_annot/sw10utt/sw_1035_2957.utt,433
swb1_dialogact_annot/sw03utt/sw_0323_2022.utt,10
swb1_dialogact_annot/sw03utt/sw_0396_2490.utt,211
swb1_dialogact_annot/sw05utt/sw_0534_2499.utt,214
swb1_dialogact_annot/sw06utt/sw_0670_3386.utt,710
swb1_dialogact_annot/sw06utt/sw_0602_2938.utt,423
swb1_dialogact_annot/sw09utt/sw_0921_3810.utt,893
swb1_dialogact_annot/sw06utt/sw_0673_3504.utt,766
swb1_dialogact_annot/sw05utt/sw_0510_3680.utt,836
swb1_dialogact_annot/sw04utt/sw_0408_2860.utt,388
swb1_dialogact_annot/sw10utt/sw_1051_3170.utt,568
swb1_dialogact_annot/sw12utt/sw_1200_2121.utt,51
swb1_dialogact_annot/sw06utt/sw_0609_3049.utt,488
swb1_dialogact_annot/sw01utt/sw_0185_3174.utt,571
swb1_dialogact_annot/sw02utt/sw_0230_3148.utt,553
swb1_dialogact_annot/sw00utt/sw_0023_4341.utt,1017
swb1_dialogact_annot/sw05utt/sw_0580_2015.utt,6
swb1_dialogact_annot/sw03utt/sw_0393_2407.utt,167
swb1_dialogact_annot/sw10utt/sw_1001_2389.utt,160
swb1_dialogact_annot/sw01utt/sw_0161_3781.utt,880
swb1_dialogact_annot/sw01utt/sw_0165_4079.utt,959
swb1_dialogact_annot/sw07utt/sw_0702_2652.utt,296
swb1_dialogact_annot/sw07utt/sw_0751_2793.utt,359
swb1_dialogact_annot/sw07utt/sw_0713_3036.utt,479
swb1_dialogact_annot/sw03utt/sw_0307_3375.utt,703
swb1_dialogact_annot/sw09utt/sw_0952_3454.utt,748
swb1_dialogact_annot/sw08utt/sw_0852_2090.utt,36
swb1_dialogact_annot/sw10utt/sw_1071_3162.utt,563
swb1_dialogact_annot/sw10utt/sw_1021_2954.utt,430
swb1_dialogact_annot/sw00utt/sw_0020_4109.utt,970
swb1_dialogact_annot/sw05utt/sw_0514_4174.utt,995
swb1_dialogact_annot/sw02utt/sw_0218_2465.utt,196
swb1_dialogact_annot/sw08utt/sw_0821_2711.utt,321
swb1_dialogact_annot/sw03utt/sw_0309_3663.utt,831
swb1_dialogact_annot/sw01utt/sw_0191_3427.utt,732
swb1_dialogact_annot/sw06utt/sw_0634_2027.utt,13
swb1_dialogact_annot/sw02utt/sw_0210_2113.utt,49
swb1_dialogact_annot/sw01utt/sw_0156_3252.utt,624
swb1_dialogact_annot/sw03utt/sw_0320_4720.utt,1076
swb1_dialogact_annot/sw04utt/sw_0459_2330.utt,134
swb1_dialogact_annot/sw05utt/sw_0568_3586.utt,805
swb1_dialogact_annot/sw10utt/sw_1015_2355.utt,145
swb1_dialogact_annot/sw00utt/sw_0092_3154.utt,557
swb1_dialogact_annot/sw07utt/sw_0736_2071.utt,29
swb1_dialogact_annot/sw07utt/sw_0795_3429.utt,734
swb1_dialogact_annot/sw05utt/sw_0545_2840.utt,380
swb1_dialogact_annot/sw03utt/sw_0370_3636.utt,818
swb1_dialogact_annot/sw03utt/sw_0398_2504.utt,218
swb1_dialogact_annot/sw04utt/sw_0421_3311.utt,661
swb1_dialogact_annot/sw01utt/sw_0100_3925.utt,920
swb1_dialogact_annot/sw00utt/sw_0095_3445.utt,741
swb1_dialogact_annot/sw05utt/sw_0593_2597.utt,264
swb1_dialogact_annot/sw03utt/sw_0374_4032.utt,941
swb1_dialogact_annot/sw08utt/sw_0887_3803.utt,889
swb1_dialogact_annot/sw09utt/sw_0926_2149.utt,60
swb1_dialogact_annot/sw10utt/sw_1019_2898.utt,407
swb1_dialogact_annot/sw03utt/sw_0373_4013.utt,935
swb1_dialogact_annot/sw08utt/sw_0889_3815.utt,896
swb1_dialogact_annot/sw06utt/sw_0610_3056.utt,494
swb1_dialogact_annot/sw09utt/sw_0933_2662.utt,301
swb1_dialogact_annot/sw06utt/sw_0644_2476.utt,202
swb1_dialogact_annot/sw03utt/sw_0367_3524.utt,777
swb1_dialogact_annot/sw10utt/sw_1032_2557.utt,244
swb1_dialogact_annot/sw08utt/sw_0883_3597.utt,810
swb1_dialogact_annot/sw06utt/sw_0623_3537.utt,784
swb1_dialogact_annot/sw06utt/sw_0649_2620.utt,279
swb1_dialogact_annot/sw01utt/sw_0178_3038.utt,480
swb1_dialogact_annot/sw08utt/sw_0823_2827.utt,371
swb1_dialogact_annot/sw02utt/sw_0200_4159.utt,990
swb1_dialogact_annot/sw02utt/sw_0244_3526.utt,779
swb1_dialogact_annot/sw06utt/sw_0601_2893.utt,404
swb1_dialogact_annot/sw00utt/sw_0047_4339.utt,1015
swb1_dialogact_annot/sw00utt/sw_0035_4372.utt,1032
swb1_dialogact_annot/sw10utt/sw_1078_2437.utt,182
swb1_dialogact_annot/sw04utt/sw_0474_2691.utt,313
swb1_dialogact_annot/sw04utt/sw_0411_2998.utt,454
swb1_dialogact_annot/sw05utt/sw_0559_3365.utt,696
swb1_dialogact_annot/sw09utt/sw_0975_3009.utt,462
swb1_dialogact_annot/sw02utt/sw_0290_2851.utt,385
swb1_dialogact_annot/sw01utt/sw_0171_2028.utt,14
swb1_dialogact_annot/sw02utt/sw_0253_4072.utt,955
swb1_dialogact_annot/sw05utt/sw_0544_2800.utt,362
swb1_dialogact_annot/sw10utt/sw_1044_2457.utt,193
swb1_dialogact_annot/sw12utt/sw_1205_2441.utt,184
swb1_dialogact_annot/sw07utt/sw_0791_3050.utt,489
swb1_dialogact_annot/sw02utt/sw_0258_2008.utt,3
swb1_dialogact_annot/sw03utt/sw_0305_3343.utt,680
swb1_dialogact_annot/sw09utt/sw_0968_2413.utt,168
swb1_dialogact_annot/sw08utt/sw_0848_4666.utt,1063
swb1_dialogact_annot/sw10utt/sw_1057_3293.utt,652
swb1_dialogact_annot/sw07utt/sw_0781_2482.utt,206
swb1_dialogact_annot/sw03utt/sw_0335_2589.utt,261
swb1_dialogact_annot/sw07utt/sw_0733_4940.utt,1126
swb1_dialogact_annot/sw04utt/sw_0449_4858.utt,1111
swb1_dialogact_annot/sw05utt/sw_0533_2486.utt,209
swb1_dialogact_annot/sw02utt/sw_0211_2163.utt,66
swb1_dialogact_annot/sw10utt/sw_1059_3764.utt,872
swb1_dialogact_annot/sw10utt/sw_1088_3230.utt,607
swb1_dialogact_annot/sw02utt/sw_0202_4376.utt,1033
swb1_dialogact_annot/sw11utt/sw_1113_2909.utt,409
swb1_dialogact_annot/sw02utt/sw_0268_2366.utt,148
swb1_dialogact_annot/sw06utt/sw_0692_2287.utt,112
swb1_dialogact_annot/sw06utt/sw_0669_3381.utt,706
swb1_dialogact_annot/sw10utt/sw_1022_2982.utt,444
swb1_dialogact_annot/sw06utt/sw_0696_2431.utt,176
swb1_dialogact_annot/sw02utt/sw_0275_2540.utt,235
swb1_dialogact_annot/sw08utt/sw_0896_4814.utt,1101
swb1_dialogact_annot/sw03utt/sw_0306_3345.utt,682
swb1_dialogact_annot/sw07utt/sw_0769_3659.utt,828
swb1_dialogact_annot/sw08utt/sw_0891_3921.utt,919
swb1_dialogact_annot/sw05utt/sw_0546_2913.utt,411
swb1_dialogact_annot/sw10utt/sw_1012_3527.utt,780
swb1_dialogact_annot/sw01utt/sw_0119_3083.utt,516
swb1_dialogact_annot/sw02utt/sw_0232_3159.utt,561
swb1_dialogact_annot/sw09utt/sw_0993_3965.utt,926
swb1_dialogact_annot/sw10utt/sw_1000_2292.utt,115
swb1_dialogact_annot/sw00utt/sw_0086_2546.utt,238
swb1_dialogact_annot/sw10utt/sw_1090_2353.utt,143
swb1_dialogact_annot/sw09utt/sw_0946_3107.utt,532
swb1_dialogact_annot/sw06utt/sw_0629_4056.utt,951
swb1_dialogact_annot/sw04utt/sw_0488_3215.utt,597
swb1_dialogact_annot/sw03utt/sw_0390_2241.utt,92
swb1_dialogact_annot/sw06utt/sw_0699_2519.utt,224
swb1_dialogact_annot/sw05utt/sw_0592_2533.utt,231
swb1_dialogact_annot/sw05utt/sw_0525_2130.utt,55
swb1_dialogact_annot/sw02utt/sw_0279_2602.utt,267
swb1_dialogact_annot/sw08utt/sw_0881_3500.utt,764
swb1_dialogact_annot/sw00utt/sw_0093_3227.utt,604
swb1_dialogact_annot/sw04utt/sw_0433_3727.utt,856
swb1_dialogact_annot/sw04utt/sw_0497_3354.utt,688
swb1_dialogact_annot/sw07utt/sw_0731_4917.utt,1122
swb1_dialogact_annot/sw08utt/sw_0874_3059.utt,496
swb1_dialogact_annot/sw10utt/sw_1013_4822.utt,1103
swb1_dialogact_annot/sw08utt/sw_0892_3979.utt,928
swb1_dialogact_annot/sw03utt/sw_0361_3398.utt,715
swb1_dialogact_annot/sw09utt/sw_0991_3855.utt,907
swb1_dialogact_annot/sw09utt/sw_0920_3747.utt,865
swb1_dialogact_annot/sw07utt/sw_0789_2999.utt,455
swb1_dialogact_annot/sw02utt/sw_0297_3223.utt,601
